lemma,n_instances,n_paragraphs,tfidf_rank,example_forms,example_para_ids,enrichment_score,in_current_seeds,keep
cautivo,5,5,1137,cautivo; cautivos; mirlo cautivo,,0.964,False,
resplandor,5,5,1279,resplandor; resplandor de lo santo; resplandor de las estrellas,,0.964,False,
hispanoamerican,5,5,2207,literatura hispanoamericana; crítica literaria hispanoamericana; escritura hispanoamericana,,3.025,False,
banco,5,5,1519,bancos ingleses; banca; banco,,0.964,False,
ficcionalizacion,5,5,1616,ficcionalización; ficcionalización de la crítica,,3.025,False,
corrosion,5,5,1556,corrosión; corrosiones; mutua corrosión,,0.964,False,
indulto,5,5,1263,indulto,,0.964,False,
bien,5,5,1164,bienes; circulación de bienes; bienes de este mundo,,0.964,False,
patrimonio,5,5,1304,patrimonio cultural; patrimonio; patrimonio soberano,Gusmán_Entredichos_1_p3,0.964,False,
esteticismo,5,5,1412,esteticismo,,0.964,False,
autobiografico,5,5,1803,testimonio autobiográfico; lo autobiográfico; antecedentes autobiográficos,,2.263,False,
circuito,5,5,1450,circuito; circuitos de colores; circuito de la producción textual,,0.964,False,
paradojo,5,5,1708,paradoja; paradoja borgiana,,3.025,False,
grave,5,5,1281,sonido grave; vicios graves; delito grave,,0.964,False,
profundo,5,5,1177,corazón profundo; almas profundas; tristeza profunda,,0.964,False,
progresista,5,5,1375,gesto progresista; imaginería progresista; cultura liberal progresista,Jinkis_Entredichos_1_p10; Grüner_Entredichos_1_p13,2.263,False,
autonomo,5,5,1725,oficio autónomo; intereses autónomos; objeto autónomo,,0.964,False,
condensacion,5,5,1802,condensación; cine de la condensación; condensación anticinematográfica,,2.263,False,
infraccion,6,5,1729,infracción; infracciones amnistiadas; infracciones políticas,,2.263,False,
sensible,6,5,1404,lo sensible; características sensibles; reino de lo sensible,,0.964,False,
propiedad,5,5,1346,propiedad; propiedad idiomática; propiedad intelectual,,0.964,False,
herido,5,5,1093,herida; universo herido de locura,,0.964,False,
arma,5,5,1674,armas; armas sacerdotales; armas de la ley,,0.964,False,
platonico,5,5,1473,platónico; montura platónica; filosofía platónica,Gusmán_Entredichos_1_p2,0.964,False,
recuperacion,5,5,1525,recuperación; recuperación del pasado; recuperación del recuerdo,Gusmán_Entredichos_1_p4,0.964,False,
biblico,5,5,1380,personajes bíblicos; exégesis bíblica; crítica bíblica,Gusmán_Entredichos_1_p4,0.964,False,
funebre,5,5,1419,cortejo fúnebre; fúnebre velo; honras fúnebres,,0.964,False,
ontologico,5,5,1743,residuo ontológico; estatuto ontológico; hiato ontológico,,2.263,False,
armado,5,5,1660,estructura de cemento armado; organizaciones armadas; fuerza armada,,2.263,False,
movil,6,5,1677,móvil político; móviles personales; móvil,,0.964,False,
generico,5,5,2012,verosimil genérico; identidad genérica; exigencia genérica,,2.263,False,
carcel,5,5,1508,cárcel; cárcel del ánima; muros de las cárceles,,0.964,False,
cerrado,5,5,1691,superficie cerrada; espacio cerrado; mundo cerrado,,0.964,False,
superficie,5,5,1655,superficie; superficie cerrada; superficies,,0.964,False,
inubicado,6,5,1210,fenomenismo inubicado; pluralidad inubicada; Fenomenismo inubicado,,0.964,False,
administracion,5,5,1370,administración pública; administración de empresas; administración,,0.964,False,
ajedrez,5,5,1395,ajedrez; partido de ajedrez,,0.964,False,
vinculo,5,5,1477,vínculo; vínculos militares; libidinosidad de los vínculos militares,,2.263,False,
planeta,6,5,1618,planeta; otro planeta; planeta parcelado,,0.964,False,
invitacion,5,5,1260,invitación,,0.964,False,
dualidad,5,5,1558,dualidad; dualidades,,0.964,False,
sumision,5,5,1732,sumisión; representantes y beneficiarios locales de la sumisión,,0.964,False,
irresponsabilidad,5,5,1485,irresponsabilidad; irresponsabilidad ética; irresponsabilidad del ejecutor,,0.964,False,
valoracion,5,5,1999,valoración peyorativa; valoraciones éticas; valoración romántica de la locura,,2.263,False,
tropo,5,5,1789,tropos; tropo paradigmático; laboratorio de tropos,,0.964,False,
musical,6,5,1597,ejecución musical; escala musical; orden musical,,2.263,False,
puesto,6,5,1905,puesta en escena; puesta de cámara,,0.964,False,
pestilencia,5,5,1121,pestilencia; pestilencia senil; pestilencia del lugar,,0.964,False,
primordial,5,5,1544,fenómeno primordial; Catástrofe primordial; parejas primordiales,,2.263,False,
region,5,5,1502,región,,2.263,False,
entrada,5,5,1308,entrada de los alemanes a Francia; entrada; entrada a Abajo,,0.964,False,
deformacion,5,5,1478,deformación; deformaciones; sistemas de deformación,,2.263,False,
hospital,5,5,1415,hospital; hospital para enfermos mentales,,0.964,False,
conjetura,5,5,1445,conjetura,,0.964,False,
crucificado,5,5,1037,crucificado; Crucificado; Hijo crucificado,,0.964,False,
partir,5,5,1317,parto,,0.964,False,
pesimismo,5,5,1494,pesimismo,,2.263,False,
mente,5,5,1189,mente; mentes de sus personajes; mentes simples,,0.964,False,
vejez,5,5,1089,vejez; la vejez,,0.964,False,
generacional,5,5,1274,conflicto generacional; enternecimiento generacional; emblema generacional,,0.964,False,
abstracta,5,5,1613,normas generales y abstractas; características abstractas; normas abstractas,,0.964,False,
gente,5,5,1326,derecho de gentes; pobres gentes; gente muy humilde,,0.964,False,
corriente,4,4,1989,corriente dominante; corriente eléctrica; corrientes interesantes,,1.165,False,
intertextualidad,4,4,1639,intertextualidad,,3.362,False,
aislamiento,4,4,1074,aislamiento,,1.165,False,
racionalizacion,4,4,2136,racionalización; racionalización de lo abominable,,1.165,False,
autocritico,4,4,1683,autocrítica; voluntad autocrítica,,1.165,False,
caracteristica,5,4,2217,características sensibles; características abstractas; características de los cuadros,,1.165,False,
mediocridad,4,4,2416,mediocridad,Jinkis_Entredichos_1_p1; Jinkis_Entredichos_1_p14,1.165,False,
hoja,4,4,1972,hojas; hojas de las palmeras; hojas de ruda,,1.165,False,
arcano,4,4,1784,arcano; arcanos,,1.165,False,
gravedad,4,4,1829,gravedad de la poesía; gravedad del relato; hechos de especial gravedad,,2.515,False,
ascenso,4,4,1696,ascenso; ascenso vertiginoso; burguesía en ascenso,,1.165,False,
responsable,4,4,1705,responsables; responsable; autor responsable,,1.165,False,
madre,4,4,1782,madre primitiva; la madre; muerte de la madre,,1.165,False,
continuo,4,4,1914,Función Continua; temporalidad continua; cuerpo continuo,,1.165,False,
detencion,5,4,1740,detención; deseo de detención; detención clandestina,,1.165,False,
roca,4,4,1430,rocas,,1.165,False,
olvidado,4,4,1282,país olvidado; cosas olvidadas; pensar lo olvidado,,1.165,False,
sacrilegio,4,4,1709,sacrilegio,,1.165,False,
peligroso,4,4,1704,minerales peligrosos; pabellón de locos peligrosos; lugar peligroso,,1.165,False,
respetar,4,4,1442,respeto; respeto a la ley,,1.165,False,
culpable,4,4,1228,culpable; ciudades culpables; peso culpable,,1.165,False,
obedecer,4,4,1913,deber de obedecer; obligación irrestricta de obedecer órdenes,,1.165,False,
exotico,4,4,1852,exótico; exótica; valor exótico,,1.165,False,
consumo,4,4,1598,consumo; consumo ostentoso,,2.515,False,
incesto,4,4,2286,incesto; prohibición del incesto,,1.165,False,
personalidad,4,4,2241,personalidades; personalidad exterior; disolución de la personalidad,,3.362,False,
adulto,5,4,1837,orden adulto; pacto con el orden adulto; hipocresía adulta,,1.165,False,
paradigmatico,4,4,1808,tropo paradigmático; oposición paradigmática; paradigmático,,1.165,False,
poeticidad,4,4,2226,poeticidad,,1.165,False,
mitologico,4,4,2124,mitológica; tratamiento mitológico; carácter mitológico,,1.165,False,
arana,4,4,1961,tela de araña; arañas gigantes; araña tejedora,,2.515,False,
inteligibilidad,4,4,1823,inteligibilidad,,2.515,False,
hipotesis,4,4,1778,hipótesis,,1.165,False,
reconocimiento,4,4,1475,reconocimiento; reconocimiento de la persona,,1.165,False,
fuga,4,4,2139,fuga; líneas de fuga; fuga al desierto,,1.165,False,
variacion,4,4,2258,variación; variación escalar de plano; variaciones,,1.165,False,
eclipse,4,4,2082,eclipse; luz de eclipse,,1.165,False,
almuerzo,4,4,1678,almuerzo,,1.165,False,
cautela,4,4,1424,cautela,,1.165,False,
biografico,5,4,1964,método biográfico; género biográfico; novela biográfica,,2.515,False,
antropologico,4,4,2394,límites antropológicos; manual antropológico; actividad antropológica,,1.165,False,
preguntar,4,4,1237,pregunta; pregunta fundamental,,1.165,False,
espuma,4,4,1882,espuma; espuma suspendida; blanca espuma de las olas,,1.165,False,
simple,4,4,1481,pasado simple; tiempo simple; mentes simples,,1.165,False,
regular,4,4,1921,ritmo regular y diario; hábitos regulares; ejercicio regular del mando,,1.165,False,
idiomatico,4,4,1816,tiranía de las formas idiomáticas; parálisis idiomática; purismo idiomático,,1.165,False,
peculiaridad,4,4,1825,peculiaridad; peculiaridades estilísticas; peculiaridad histórica de cada pueblo,,1.165,False,
italiano,4,4,1406,término italiano; literatura italiana; lengua italiana,,1.165,False,
implicancia,4,4,1620,implicancias; relación de implicancia; implicancias políticas,,2.515,False,
externo,4,4,1843,enemigo externo; observador externo; legalidad externa,,1.165,False,
efectivo,4,4,2490,efectivo; efectivos militares; efectivos,,1.165,False,
epistolar,4,4,1545,novela epistolar; escritura epistolar; epílogo epistolar,,1.165,False,
neutralidad,4,4,2141,neutralidad valorativa; neutralidad; neutralidad moral,,1.165,False,
quilombo,4,4,1435,quilombo; quilombo nacional,,1.165,False,
afan,4,4,2647,afán de conocer; afán de superación; afán de cundir,,2.515,False,
ficticio,4,4,1968,pacto ficticio; armonía ficticia; lo verosímil ficticio,,2.515,False,
autoritario,4,4,1748,autoritario absoluto; Imperio autoritario; palabra autoritaria,,1.165,False,
suavidad,4,4,1675,suavidad desgarradora; suavidad del alma solitaria; suavidad del espíritu,,1.165,False,
llaga,4,4,1196,llagas; dedo en la llaga,,1.165,False,
hada,4,4,1815,cuentos de hadas; cuento de hadas; hadas,Gusmán_Entredichos_1_p2,2.515,False,
escolar,4,4,1493,lectura escolar; retórica escolar,Gusmán_Entredichos_1_p1,1.165,False,
procurador,4,4,1840,procurador general; procurador imperial; procurador Gauna,,1.165,False,
transporte,4,4,1911,sociedad de transportes; transporte; transporte masivo,,1.165,False,
frente,4,4,1775,distancia frente a la forma; libertad frente a la forma; defensa de la sociedad frente a la muerte,,1.165,False,
dulce,4,4,1376,dulce soñador; pasta dulce; carne dulce,,1.165,False,
corte,4,4,1455,cortes; sumas y cortes; damas en la corte,,1.165,False,
esfera,4,4,2409,esfera; esfera cuyo centro está en todas partes y en ningún lugar tiene circunferencia; esfera inferior,,1.165,False,
inmortalidad,4,4,2260,inmortalidad; inmortalidad del alma,,1.165,False,
tumba,6,4,1659,tumba; tumba de Covadonga; visita a la tumba,,1.165,False,
comedor,4,4,2137,comedor; comedor redondo; comedor gratuito,,1.165,False,
tunico,4,4,1285,túnica; túnica de Calfás; túnica de diversos colores,,1.165,False,
generalidad,5,4,1592,generalidad; generalidad universal; carácter de generalidad,,1.165,False,
punibilidad,5,4,1399,punibilidad; no punibilidad,,1.165,False,
tono,5,4,2154,alteraciones de tono; tono neutro; tono emocional,,1.165,False,
buscar,4,4,1719,busca de las causas del asombro de existir; buscar; busca de las causas,,1.165,False,
inspeccion,6,4,1681,inspección concreta; inspección lógica; facultades de inspección,,1.165,False,
mimetismo,4,4,2288,mimetismo; mimetismo joyceano,,1.165,False,
musicalidad,4,4,2261,musicalidad; musicalidad rítmica,Grüner_Entredichos_1_p12,3.362,False,
negacion,4,4,1486,negación; negación de sí mismo,Grüner_Entredichos_1_p13,2.515,False,
extranjeridad,4,4,1926,extranjeridad; extranjeridad literaria,,1.165,False,
periodista,4,4,1821,periodista,,1.165,False,
ola,4,4,1698,olas; blanca espuma de las olas,,1.165,False,
inmolacion,4,4,1350,inmolación; inmolación pascual,,1.165,False,
juramento,4,4,2002,juramento; juramentos; fe del juramento,,1.165,False,
explicacion,6,4,1746,falsas explicaciones pseudocientíficas; explicaciones pseudocientíficas; explicaciones filosóficas,,4.209,False,
complejo,4,4,2263,orden complejo; complejos de asociaciones simbólicas; complejo,,1.165,False,
cosmopolita,4,4,1752,cosmopolita; erudición cosmopolita,,2.515,False,
eden,4,4,1416,edén; Edén,,1.165,False,
patho,4,4,2221,pathos; pathos de tiempos,,3.362,False,
fin,4,4,1845,fines; fin de los fines; fines humanísticos,,1.165,False,
representativo,4,4,1488,orden representativo; espacio representativo; motivos representativos,,1.165,False,
beso,4,4,1299,besos; beso; besos temblequeantes,,1.165,False,
imperialismo,7,4,2034,imperialismo; imperialismo estadounidense; imperialismo inglés,,1.165,False,
ferrocarril,4,4,1943,ferrocarril; ferrocarriles; estación del ferrocarril,,1.165,False,
mortalidad,4,4,1756,mortalidad,,1.165,False,
contradictorio,4,4,2179,implicación contradictoria; coincidencia contradictoria; ideas contradictorias,,1.165,False,
pronombr,4,4,2007,pronombres; pronombres personales; pronombres relativos,,1.165,False,
concierto,4,4,1684,concierto; concierto del sufrimiento incesante; conciertos cerebrales,,1.165,False,
blancura,4,4,1983,blancura,,2.515,False,
soneto,4,4,1388,sonetos; escritura de un soneto; soneto,,2.515,False,
escatologico,4,4,2370,goce escatológico; exabrupto escatológico; profetismo escatológico,,3.362,False,
abuso,4,4,1974,abuso de autoridad; abusos; abuso del superior,Gusmán_Entredichos_1_p6,1.165,False,
privacion,4,4,1805,privación ilegítima de la libertad; privación,,1.165,False,
consuelo,4,4,1649,consuelo,,1.165,False,
videncio,4,4,1735,videncia,,2.515,False,
desolado,4,4,1580,desolada; mirada desolada; paraje desolado,,1.165,False,
malestar,4,4,2039,malestar; estado de malestar; malestar fantástico,Grüner_Entredichos_1_p12,2.515,False,
cortesia,4,4,1634,cortesía,,2.515,False,
difunto,4,4,1940,difuntos; voluntad del difunto,,1.165,False,
marcha,4,4,1938,marcha; marcha del sol; trabajo de la marcha,,1.165,False,
desesperado,4,4,1669,El desesperado; desesperados; casos desesperados,,1.165,False,
impuesto,4,4,1798,impuestos; impuesto especial; función impuesta,Jinkis_Entredichos_1_p13,2.515,False,
cineasta,4,4,1575,cineasta,,1.165,False,
arbitrio,4,4,1794,arbitrio; libre arbitrio,,1.165,False,
don,4,4,1925,don de la raza; don sobrenatural; don maravilloso,,1.165,False,
polifonir,4,4,2212,polifonía,,3.362,False,
definitivo,4,4,1629,pronunciamientos definitivos; texto definitivo; Castigo definitivo,,1.165,False,
nacimiento,4,4,1877,nacimiento; nacimiento y resurrección; idiota de nacimiento,,1.165,False,
absorcion,4,4,1503,absorción; principio de absorción,,2.515,False,
conduccion,4,4,1891,conducción; conducción política,,1.165,False,
almohadon,4,4,1658,almohadones; almohadón,,1.165,False,
senor,4,4,1254,palabra del señor; señor; Señor de los Señores,,2.515,False,
zapatilla,4,4,2063,zapatillas; zapatilla; zapatillas blancas,,1.165,False,
resto,4,4,1861,resto imposible de perder; restos nostálgicos; resto,,1.165,False,
circularidad,4,4,2133,circularidad; circularidad evasiva; energía de la circularidad,,1.165,False,
penitenciario,4,4,1982,fuerza penitenciaria; colonia penitenciaria; agentes penitenciarios,,1.165,False,
amarguro,4,4,1591,amargura,,1.165,False,
debate,4,4,1483,debate; debate intelectual; debate teórico,,2.515,False,
heterogeneidad,4,4,1965,heterogeneidades; heterogeneidad textual; heterogeneidad,,2.515,False,
monja,4,4,2181,monjas; colegio de monjas,,1.165,False,
emblema,4,4,1721,emblema; emblema generacional,,2.515,False,
combate,4,4,2004,combate cuerpo a cuerpo; impureza del combate; fatiga de combate,,2.515,False,
eficiencia,4,4,1422,eficiencia; eficiencia militar,,1.165,False,
determinacion,4,4,1645,determinación; determinación corporal; determinaciones simbólicas,,1.165,False,
xix,4,4,1750,siglo XIX; intelectual fin de siglo XIX; moralistas del siglo XIX,,2.515,False,
fragmentario,4,4,2225,visión fragmentaria; escritura fragmentaria; referencia fragmentaria,,3.362,False,
simulacro,5,4,1713,simulacro de sociedad; simulacros; simulacros de novelas históricas,,1.165,False,
coincidencia,4,4,980,coincidencia; coincidencia contradictoria; coincidencias,,1.165,False,
confesional,4,4,1578,yo confesional; antisemitismo confesional; literatura confesional,,1.165,False,
aguila,4,4,2262,águila; águila rota,,1.165,False,
rosista,4,4,2480,época rósista; máquina rosista; retórica rosista,,1.165,False,
epilogo,4,4,1584,epílogo; epílogo epistolar,,1.165,False,
hipnotico,4,4,1532,poder hipnótico; sonambulismo hipnótico; influencia hipnótica,,1.165,False,
trabajador,4,4,1764,trabajadores; trabajadores de la cultura; clase trabajadora,,1.165,False,
pintoresco,4,4,1699,figura pintoresca; personaje pintoresco; multitud pintoresca,,1.165,False,
escolastico,4,4,2008,convención escolástica; escolástica; tradición escolástica,,1.165,False,
interminable,4,4,1928,lo interminable; jardines interminables; noche interminable,,2.515,False,
civita,4,4,1739,civitas; leyes de la civitas,,1.165,False,
socialista,4,4,2045,socialista; sociedad socialista; socialistas solitarios,,1.165,False,
visita,4,4,1504,vestidos de visita; visita a la tumba; visitas excepcionales,,1.165,False,
inundacion,4,4,1479,inundación,,1.165,False,
desgracia,4,4,1810,desgracia; desgracias,,1.165,False,
transcripcion,4,4,1755,transcripción; transcripción textual; transcripción de documentos,,2.515,False,
acumulado,4,4,2170,memoria acumulada; capital acumulado; saber acumulado,,2.515,False,
cronico,4,4,1697,crónica,,1.165,False,
simplicidad,4,4,1715,simplicidad; la simplicidad; íntima simplicidad,,1.165,False,
disco,4,4,1354,discos viejos; disco de metal; disco,,1.165,False,
misericordia,4,4,1390,misericordia; misericordia de Dios Padre,,1.165,False,
estatuto,4,4,1951,estatuto simbólico; estatuto de la realidad; estatuto ontológico,,2.515,False,
inhabilitacion,4,4,1858,inhabilitación absoluta perpetua,,1.165,False,
porteno,4,4,1496,porteño; debacle porteña; Dostoievsky porteño,,2.515,False,
imposicion,4,4,1360,imposición poética; imposición; delito de imposición de tormento,,1.165,False,
teatralidad,4,4,1744,teatralidad,,2.515,False,
monje,4,4,1811,monje artífice; monje; monje alado,,1.165,False,
movilizacion,4,4,2053,movilización; movilización total,,1.165,False,
freudiano,4,4,2164,lo unheimliche freudiano; ombligo freudiano; fatalismo freudiano,,1.165,False,
fascismo,4,4,2325,fascismo; fascismo cultural; fascismos internos,,3.362,False,
banda,4,4,2068,banda de Moebius; bandas de delincuentes; bandas terroristas,,2.515,False,
proposito,4,4,2155,propósitos; propósito de enmienda; propósito,Jinkis_Entredichos_1_p9,2.515,False,
cargo,4,4,2096,pruebas de cargo; cargos; deberes inherentes al cargo,,1.165,False,
jazmin,4,4,1728,jazmines; el perfume de los jazmines,,1.165,False,
exposicion,5,4,1804,exposición; doble exposición; exposición múltiple,,1.165,False,
entusiasmo,4,4,1693,entusiasmo; facultades de entusiasmo,Jinkis_Entredichos_1_p16,2.515,False,
infernal,4,4,1929,lo infernal; galerías infernales; risa infernal,,2.515,False,
pasivo,4,4,1480,obediencia pasiva; amor pasivo; yo pasivo,,1.165,False,
fabuloso,5,4,2625,seres fabulosos; lo real fabuloso; submundo fabuloso,,3.362,False,
ensonacion,4,4,1663,ensoñaciones; ensoñación; ensoñación nominalista,,1.165,False,
homosexual,4,4,1857,homosexual; amor homosexual adolescente,,1.165,False,
discursiva,4,4,1800,marcas discursivas; entidades discursivas; instancias discursivas,,1.165,False,
informacion,4,4,1807,información; información veraz,,2.515,False,
elocuencia,4,4,1318,elocuencia; elocuencia confidencial,,1.165,False,
maldad,4,4,1724,maldad; maldad nazi; la maldad,,1.165,False,
hipnotismo,4,4,1302,hipnotismo,,1.165,False,
semiologia,4,4,1439,semiología; semiología del discurso político,Jinkis_Entredichos_1_p5,1.165,False,
terrestre,4,4,1935,laberintos terrestres; vida terrestre; longitudes terrestres,,1.165,False,
intertextual,4,4,1915,pactos intertextuales; juegos intertextuales; intertextuales,,2.515,False,
vitrina,4,4,2484,vitrinas; sala de vitrinas; galería de vitrinas,,1.165,False,
fabulacion,4,4,1606,fabulación,,1.165,False,
mimesis,4,4,1736,mímesis; mímesis de estilos; mímesis estilística,,1.165,False,
convencional,4,4,1920,simbolismo convencional; sistema de símbolos convencionales; bombas convencionales,,2.515,False,
correcto,4,4,1289,pensamiento correcto; correctos; hombre correcto,,1.165,False,
instante,4,4,2324,instante pretérito; instante congelado; instante,,2.515,False,
abstracto,4,4,2078,universalismo abstracto; humanismo abstracto; objeto abstracto,,1.165,False,
plateado,4,4,1559,anteojos plateados; sauce plateado; rostro plateado,,1.165,False,
deuda,4,4,1383,deudas; deuda,,1.165,False,
piso,4,4,1824,piso; derecho de piso; piso de cemento,,1.165,False,
populismo,4,4,1689,populismo; populismo tolstoiano,Gusmán_Entredichos_1_p5,1.165,False,
interpretativo,4,4,1115,norma interpretativa; nivel interpretativo; error interpretativo,Gusmán_Entredichos_1_p11,1.165,False,
pornografico,4,4,1138,pornográfico; pornográfica; intención pornográfica,,1.165,False,
polivalencia,4,4,1273,polivalencia; polivalencia del decir poético; polivalencia del lenguaje,,1.165,False,
capitalismo,4,4,1931,capitalismo; capitalismo financiero,,1.165,False,
magia,4,4,2564,magia; magia del desvío; magia homeopática,Grüner_Entredichos_1_p7,2.515,False,
hueco,4,4,1966,hueco textual; libro hueco; hueco lingüístico,,1.165,False,
americano,4,4,2656,acento americano; lo americano; originalidad americana,,2.515,False,
entidad,4,4,2086,entidades extrínsecas; entidad; entidades emblemáticas,,1.165,False,
homogeneo,4,4,2535,creencias homogéneas; discurso homogéneo; formaciones discursivas homogéneas,,1.165,False,
occidental,4,4,1638,mundo occidental; metafísica occidental europea; culturas occidentales,,1.165,False,
jugueteo,4,4,1491,jugueteo verbal,,1.165,False,
chistir,4,4,1135,chiste,,1.165,False,
sentimental,4,4,1984,discurso sentimental; sentimental; crítica sentimental,Gusmán_Entredichos_1_p14,3.362,False,
secuencia,4,4,2182,secuencias irregulares; secuencias; secuencia lineal,,2.515,False,
invisible,4,4,1941,historia invisible; potencias invisibles; mundo invisible,,1.165,False,
definicion,4,4,1642,definición legal; definiciones negativas; definición,,1.165,False,
obsceno,4,4,1361,obsceno; libro obsceno,,1.165,False,
antiguedad,4,4,2120,antigüedad; maestros de la antigüedad; casa de antigüedades,,2.515,False,
simbolista,5,4,1788,simbolistas; tópico de la procesión simbolista; procedimiento simbolista,,1.165,False,
reactivo,4,4,1149,reactivo hipotético; reactivos; reactivo,,1.165,False,
alucinacion,4,4,2229,alucinación,,1.165,False,
masacre,4,4,1295,masacre; masacre de civiles; masacres,,1.165,False,
psiquico,5,4,2208,orden natural físico y psíquico; psíquico; ser psíquico del traductor,,1.165,False,
exigencia,4,4,1587,exigencia; exigencia genérica; exigencia ética,,1.165,False,
consideracion,6,4,1565,consideraciones intrínsecas; consideración; consideraciones históricas,,1.165,False,
errante,4,4,1795,errantes; pueblo errante; El canto errante,,1.165,False,
subordinacion,5,4,1819,subordinación; vínculo de subordinación; subordinación a la autoridad superior,,1.165,False,
moralidad,4,4,1912,moralidad,,1.165,False,
filologico,4,4,1673,conocimiento filológico; crux filológica; material filológico,,2.515,False,
simulacrir,4,4,1714,simulacro,,1.165,False,
altar,4,4,1515,altares; altar,,1.165,False,
simultaneidad,4,4,2314,simultaneidad; simultaneidades,,4.209,False,
anomalir,4,4,1553,anomalía,,2.515,False,
colonia,4,4,1574,colonias agrícolas; colonia de Benjamitas; colonia penitenciaria,,1.165,False,
antisemitar,4,4,1785,discurso antisemita; discurso-pastiche antisemita; diario antisemita,,1.165,False,
letania,4,4,1869,letanías; letanía,,2.515,False,
arqueologia,4,4,2075,arqueología; arqueología flaubertiana; arqueología del silencio dominante,,2.515,False,
objetividad,4,4,1408,objetividad,,1.165,False,
miembro,4,4,1967,miembros truncos; miembros dispersos; control de miembros,,1.165,False,
credito,4,4,1632,crédito; comprador de créditos; notas de crédito,,1.165,False,
divisorio,4,4,3023,línea divisoria; divisoria de aguas; retícula divisoria,,1.165,False,
informe,4,4,1765,informe; informe de la CONADEP,,1.165,False,
proletariado,4,4,1818,proletariado; proletariado judío,,2.515,False,
rezo,4,4,1505,rezos; rezo; servicio de rezo,,1.165,False,
propin,4,4,1341,propina,,1.165,False,
ascensorista,4,4,1548,ascensorista,,1.165,False,
santidad,4,4,907,santidad,,1.165,False,
edificio,4,4,2005,edificio; edificios,,1.165,False,
colonial,4,4,1668,mundo colonial; coloniales; potencia colonial,,2.515,False,
etnocentrismo,4,4,2128,etnocentrismo; etnocentrismo cronológico,,2.515,False,
requisito,4,4,1451,requisito de reactivo; requisitos de validez; requisitos formales,,1.165,False,
necesario,4,4,1900,critica necesaria; milagro necesario; lo posible necesario,,1.165,False,
parodico,5,4,2528,imitación burlona paródica; vals paródico; imagen paródica,,1.165,False,
onda,4,4,1241,onda; Ondas; ondas sonoras,,1.165,False,
vuelta,4,4,1622,vuelta a las fuentes; viaje de ida y de vuelta; vuelta de noria,,1.165,False,
itinerario,4,4,1472,itinerario; itinerario secreto,,1.165,False,
significativo,4,4,1886,número significativo; frase significativa; relaciones significativas,,1.165,False,
permiso,4,4,1110,permiso; permiso de circulación,,1.165,False,
television,4,4,3294,televisión,,1.165,False,
individualidad,4,4,2205,individualidad,,2.515,False,
faltar,4,4,2032,falta,,2.515,False,
intersticio,4,4,1734,intersticio; intersticios; intersticio de la ley,,1.165,False,
folletin,4,4,1133,folletín; folletín político,,1.165,False,
trama,4,4,1319,trama simbólica; trama de la novela; modificación de la trama,,1.165,False,
tratado,4,4,1461,tratado de moral; tratado de caracteres; objeto y fin de un tratado,,1.165,False,
pertenencia,4,4,1590,superstición de pertenencia; pertenencia a un grupo; pertenencia,Jinkis_Entredichos_1_p8,1.165,False,
contar,4,4,1489,contar; contar la vida,,1.165,False,
desasosiego,4,4,1871,desasosiego,,1.165,False,
disimulo,4,4,1851,disimulo; disimulo femenil; moral del disimulo,,1.165,False,
imprentar,4,4,1975,imprenta,,1.165,False,
episodio,4,4,1589,episodio; episodio pasajero,,2.515,False,
lago,4,4,1374,lago; La dama del lago,,1.165,False,
disparate,4,4,2092,disparate; disparate oral; disparates lexicales,,4.209,False,
espectro,4,4,2056,espectros; espectro sintáctico; espectro del padre muerto,,2.515,False,
atmosferar,4,4,1842,atmósfera familiar; atmósfera opresiva; atmósfera del enunciado,,1.165,False,
elipsis,4,4,2083,elipsis; elipsis verbales,Grüner_Entredichos_1_p6,1.165,False,
finalidad,4,4,1344,finalidades; finalidad,Grüner_Entredichos_1_p5,1.165,False,
indiferencia,4,4,1881,indiferencia,Jinkis_Entredichos_1_p16,1.165,False,
multitud,4,4,1841,multitud; multitud no filosófica; multitud pintoresca,,1.165,False,
terrorista,4,4,1955,subversión terrorista; represión de la subversión terrorista; bandas terroristas,,1.165,False,
retroactivo,4,4,1906,interpretación retroactiva; agravación retroactiva; efecto retroactivo,,1.165,False,
solipsismo,4,4,1617,solipsismo,,1.165,False,
oratorio,4,4,2316,oratoria,,1.165,False,
autonomia,4,4,1540,autonomía; autonomía relativa; autonomía de palabras,,1.165,False,
liturgia,4,4,1687,liturgia propiciatoria; liturgia hebrea; liturgias,,2.515,False,
contrato,4,4,2135,contrato; contrato de edición; contrato de veredicción,,1.165,False,
gaucho,4,4,1379,gaucho; gauchos; gauchos judíos,,1.165,False,
heroismo,4,4,2042,heroísmo; heroísmo cristiano,Jinkis_Entredichos_1_p17,1.165,False,
aprendizaje,4,4,1927,aprendizaje,Jinkis_Entredichos_1_p17,1.165,False,
vinculante,4,4,2006,carácter vinculante; órdenes vinculantes; jurídicamente vinculantes,,1.165,False,
antropologia,4,4,2160,antropología; antropología lingüística,,2.515,False,
estirpe,4,4,1624,estirpe; estirpe de reina deshonrada; estirpes,,1.165,False,
semita,4,4,1895,semitas; dios de los semitas,,1.165,False,
nervioso,4,4,1997,sistema nervioso; síntomas nerviosos; postración nerviosa,,2.515,False,
masivo,4,4,1863,emigraciones masivas; manipulación masiva; transporte masivo,,1.165,False,
finanza,4,4,1321,finanzas; finanzas de la Nación,,1.165,False,
